pressure[hPa],height[m],Temperature[degC],Dewpoint[degC],Relative Humidity[%],Environmental Mixing Ratio[g/kg],Wind Direction[deg],Wind Speed[kt],Theta[K],ThetaE[K],ThetaV[K],Parcel Temperature [degC],Saturation Mixing Ratio for the Parcel [unit-less],U Wind Component,V Wind Component,Parcel-Environment Temperature Difference [degC],Environmental Virtual Temperature [degC],Parcel Virtual Temperature [degC],CAPE [J/kg],CIN [J/kg]
1007.0,101,11.0,7.7,80,6.59,290.0,4.0,283.6,302.0,284.7,11.0,0.008209635183673292,3.7587704831436333,-1.368080573302676,0.0,285.292254585,285.57298838083886,0.0,-84996.60627283993
1000.0,146,11.2,7.6,78,6.59,305.0,9.0,284.4,302.9,285.5,10.433962318472481,0.007958174853912184,7.372368398600926,-5.162187927159414,-0.7660376815275072,285.493058565,284.9606168807888,,
981.1,305,10.5,6.2,75,6.09,330.0,22.0,285.2,302.4,286.2,8.891393460613699,0.007305930372224528,11.00000000000001,-19.052558883257646,-1.608606539386301,284.703731385,283.29834407806584,,
963.0,461,9.8,4.8,71,5.63,335.0,21.0,286.0,302.1,287.0,7.3940955867606135,0.006716949184489824,8.874983496554684,-19.03246352776965,-2.405904413239398,283.92173518499993,281.69357985154016,,
949.0,582,8.6,4.1,73,5.44,339.0,21.0,286.0,301.5,286.9,6.2221201638110415,0.0062846325394659685,7.5257269404513165,-19.605188956441232,-2.3778798361889812,282.6849592,280.4431283451817,,
945.8,610,8.4,4.6,77,5.65,340.0,21.0,286.0,302.1,287.0,6.067811381773664,0.006238617406411792,7.182423009839041,-19.733545036504076,-2.3321886182263256,282.5203620749999,280.2803905717162,,
938.0,679,7.8,5.8,87,6.2,340.0,21.0,286.1,303.7,287.2,5.6898127834254115,0.0061270293022728985,7.182423009839041,-19.733545036504076,-2.110187216574616,282.0125529,279.8819732025996,,
925.0,794,6.8,4.6,86,5.78,340.0,20.0,286.3,302.7,287.3,5.052106584013176,0.0059421521020020926,6.840402866513372,-18.79385241571817,-1.7478934159868231,280.93704771,279.2105093157891,,
911.5,914,5.9,3.4,84,5.38,335.0,19.0,286.6,301.9,287.5,4.376148258275906,0.005750353748461254,8.029746973073285,-17.219847953696352,-1.5238517417240587,279.9657862899999,278.499631109705,,
883.0,1174,4.0,0.7,79,4.58,318.0,23.0,287.2,300.4,288.0,2.9178359874902178,0.0053530632880195925,15.390003946253737,-17.092330985980066,-1.0821640125097929,277.92430167,276.9692992321651,,
878.1,1219,4.7,0.8,76,4.63,315.0,24.0,288.3,301.8,289.1,2.655090690792745,0.005282948362321227,16.970562748477143,-16.970562748477136,-2.0449093092072417,278.63473175499996,276.69389976262545,,
877.0,1229,4.8,0.8,75,4.65,315.0,24.0,288.6,302.1,289.4,2.595613767772741,0.005267143454525391,16.970562748477143,-16.970562748477136,-2.2043862322272503,278.73840517499997,276.63157270762207,,
873.0,1267,6.8,-0.2,61,4.34,313.0,25.0,291.0,303.8,291.8,2.3789268564133645,0.005209898972070433,18.28384254047926,-17.049959001562463,-4.421073143586625,280.69113963,276.40456835882435,,
868.0,1314,9.0,-5.0,37,3.05,311.0,27.0,293.8,303.1,294.3,2.10620515131271,0.005138491093981711,20.37715866601485,-17.71359378274369,-6.893794848687264,282.674940075,276.11899010214,,
866.0,1333,9.8,-5.2,34,3.01,311.0,27.0,294.8,304.0,295.4,1.9961721899754488,0.005109843147950177,20.37715866601485,-17.71359378274369,-7.803827810024586,283.469524495,276.0038039973917,,
851.0,1478,10.4,-11.6,20,1.86,305.0,32.0,296.9,302.8,297.3,1.1680567277260931,0.0048987712414783665,26.212865417247738,-18.354445963233474,-9.231943272273895,283.87171582999997,275.1377877861888,,
850.0,1488,10.4,-9.6,23,2.18,305.0,32.0,297.0,303.9,297.4,1.1113851792645488,0.004884481559411064,26.212865417247738,-18.354445963233474,-9.288614820735404,283.9270647899999,275.07855623306824,,
846.3,1524,10.5,-9.5,24,2.21,305.0,32.0,297.5,304.4,297.9,0.9013276138879307,0.00483182195670452,26.212865417247738,-18.354445963233474,-9.59867238611207,284.03238856499996,274.85906961932545,,
841.0,1577,10.6,-9.4,24,2.24,304.0,32.0,298.1,305.2,298.6,0.598446099585574,0.004756639987000373,26.529202321761332,-17.894172911063905,-10.001553900414422,284.137716,274.54274101069444,,
815.7,1829,9.2,-9.9,25,2.22,300.0,33.0,299.2,306.3,299.6,-0.8611658915800573,0.004408330575860077,28.578838324886473,-16.500000000000004,-10.06116589158006,282.73235837,273.0210410160678,,
786.1,2134,7.5,-10.5,27,2.2,290.0,33.0,300.6,307.6,301.0,-2.6489085094230793,0.004007613169112245,31.009856485934975,-11.286664729747077,-10.148908509423052,281.02663229999996,271.1623703698522,,
762.0,2391,6.0,-11.0,28,2.18,286.0,32.0,301.7,308.7,302.1,-4.187636988172384,0.0036838263799539275,30.7603742700262,-8.82039538614398,-10.187636988172358,279.52121366999995,269.566757507155,,
757.6,2438,6.0,-12.1,26,2.01,285.0,32.0,302.2,308.7,302.6,-4.482108146141588,0.0036237030574749287,30.90962644125019,-8.28220944328065,-10.48210814614157,279.492265815,269.26177117716367,,
738.0,2652,6.2,-16.8,17,1.4,267.0,36.0,304.7,309.3,304.9,-5.805512011193594,0.003363785875043229,35.950663251164656,1.884094424745995,-12.00551201119356,279.58856489999994,267.89305465241154,,
729.9,2743,8.0,-18.2,14,1.25,260.0,37.0,307.6,311.8,307.8,-6.374616863701152,0.0032559589890330714,36.437886861451695,6.424982573676422,-14.374616863701135,281.364376875,267.3052350574318,,
728.0,2765,8.4,-18.6,13,1.22,259.0,37.0,308.3,312.4,308.5,-6.510378416096251,0.0032305687402326413,36.320205787563566,7.05993282893215,-14.91037841609625,281.75952950999994,267.1650741360055,,
723.0,2821,8.8,-18.2,13,1.27,256.0,38.0,309.3,313.6,309.6,-6.8690744523598495,0.0031642725104405445,36.871237598487866,9.193032032787375,-15.669074452359837,282.16842666499997,266.79490264942683,,
703.4,3048,7.8,-19.2,13,1.2,245.0,39.0,310.6,314.8,310.9,-8.290050749726541,0.002912919307155845,35.346003694429356,16.48211220788727,-16.090050749726572,281.1556554,265.3305738027901,,
700.0,3088,7.6,-19.4,13,1.18,250.0,35.0,310.9,314.9,311.1,-8.547019423527937,0.0028688860850390554,32.88924172750679,11.9707050163984,-16.14701942352798,280.95208385,265.06604121998384,,
696.0,3135,7.4,-19.6,13,1.17,254.0,36.0,311.2,315.2,311.4,-8.851577842755582,0.002817368354302057,34.60542105377949,9.922944809411959,-16.25157784275558,280.75022853499996,264.7526440237578,,
677.7,3353,5.7,-21.3,12,1.04,275.0,43.0,311.7,315.3,311.9,-10.257150941650446,0.0025898080030765584,42.83637201794506,-3.7476969381492893,-15.957150941650411,279.02690243999996,263.30816268105974,,
672.0,3422,5.2,-21.8,12,1.0,273.0,44.0,311.8,315.3,312.0,-10.71289447242918,0.0025188473618188156,43.93969952920125,-2.3027820746895338,-15.912894472429173,278.5197935,262.8403393242207,,
652.7,3658,4.3,-21.7,13,1.04,265.0,46.0,313.4,317.1,313.6,-12.275872200930918,0.002287898658525851,45.82495611222029,4.00916416639228,-16.575872200930917,277.62601428,261.2382084749608,,
634.0,3894,3.4,-21.6,14,1.08,261.0,50.0,315.0,318.8,315.2,-13.857671400977884,0.002071309240043856,49.38441702975688,7.821723252011552,-17.25767140097787,276.73219114,259.6199441026429,,
628.6,3962,2.8,-21.8,14,1.07,260.0,51.0,315.1,318.9,315.3,-14.33455575082421,0.002009016729385924,50.22519540362261,8.856057061013447,-17.134555750824234,276.130112565,259.132622629141,,
604.9,4267,0.2,-22.8,16,1.01,260.0,55.0,315.5,319.1,315.7,-16.45426620796033,0.0017513333295080494,54.16442641567144,9.550649771681169,-16.654266207960347,273.51841093499996,256.96996526646046,,
560.0,4877,-5.1,-24.9,20,0.92,250.0,58.0,316.3,319.6,316.5,-20.700801670608083,0.0013173358969152111,54.502172005582686,19.837168312888775,-15.600801670608064,268.20042965999994,252.65206016796702,,
538.9,5182,-7.8,-25.9,22,0.87,250.0,67.0,316.6,319.7,316.8,-22.923225867570114,0.0011265232459082108,62.95940559265586,22.91534960281979,-15.123225867570113,265.490821245,250.39872476189322,,
538.0,5195,-7.9,-25.9,22,0.87,250.0,67.0,316.6,319.8,316.8,-23.023106961481897,0.0011184656954770398,62.95940559265586,22.91534960281979,-15.12310696148191,265.390768175,250.2975456316398,,
526.0,5370,-8.3,-26.3,22,0.85,253.0,66.0,318.2,321.3,318.4,-24.35786918152518,0.0010156065914234645,63.11611389356033,19.296532511700647,-16.057869181525177,264.987324725,248.94626252452645,,
500.0,5760,-11.3,-29.3,21,0.68,260.0,65.0,319.2,321.7,319.3,-27.338066731916612,0.0008147815387265855,64.01250394579353,11.287131548350471,-16.038066731916615,261.95861537999997,245.9341059134709,,
478.5,6096,-14.1,-30.7,23,0.62,255.0,65.0,319.7,322.0,319.9,-29.96799150938859,0.0006661271222827192,62.78517870878944,16.82323793166384,-15.86799150938856,259.14797271,243.28082247083051,,
470.0,6233,-15.3,-31.3,24,0.6,256.0,66.0,319.9,322.1,320.1,-31.065418660346698,0.0006110765701324011,64.03951793421577,15.966845109578074,-15.765418660346683,257.9443731,242.17481999119792,,
451.0,6545,-17.3,-31.3,29,0.62,257.0,67.0,321.2,323.5,321.3,-33.57161981352524,0.0004999508577737355,65.28279434061075,15.071720641038972,-16.271619813525234,255.94676246999998,239.65144441064848,,
414.0,7185,-20.1,-37.1,20,0.38,259.0,71.0,325.6,327.1,325.6,-38.69030509648807,0.0003262270102969092,69.69553002478415,13.547438671734668,-18.590305096488066,253.10865698999996,234.50635202554705,,
400.0,7440,-22.1,-39.1,20,0.32,260.0,72.0,326.2,327.4,326.2,-40.81405279217073,0.0002709091703105513,70.90615821687898,12.502668792018984,-18.714052792170747,251.09900496,232.374341790431,,
390.0,7620,-23.6,-40.2,20,0.3,260.0,71.0,326.6,327.8,326.7,-42.38485076290665,0.0002353898840521361,69.92135046386677,12.329020614352054,-18.784850762906643,249.59566765,230.79828430394386,,
318.0,9078,-35.3,-49.3,23,0.13,260.0,73.0,330.0,330.5,330.0,-53.97939673442583,7.796352288656376e-05,71.89096596989118,12.676316969685914,-18.679396734425836,237.86886150499993,219.1810265261038,,
315.0,9144,-35.8,-49.8,22,0.13,260.0,73.0,330.2,330.8,330.2,-54.559565416311806,7.340560773251251e-05,71.89096596989118,12.676316969685914,-18.7595654163118,237.36882185499994,218.60022249954218,,
300.0,9480,-38.1,-52.1,22,0.1,265.0,72.0,331.6,332.0,331.6,-57.48313028825407,5.388496215419875e-05,71.72601826260568,6.275213477831394,-19.38313028825408,235.06433805,215.67395864442443,,
251.0,10684,-47.5,-60.5,21,0.04,260.0,80.0,334.9,335.1,334.9,-67.41909831572261,1.7459959833565354e-05,78.78462024097664,13.891854213354426,-19.919098315722607,225.65550585999998,205.73309283677813,,
250.0,10710,-47.7,-60.7,21,0.04,260.0,80.0,335.0,335.2,335.0,-67.65227375440084,1.6970892526941567e-05,78.78462024097664,13.891854213354426,-19.952273754400835,225.45550098,205.49985360829342,,
234.0,11145,-50.3,-62.3,23,0.04,261.0,81.0,337.5,337.6,337.5,-71.394219017097,1.0650881612769702e-05,80.00275558820616,12.671191668258714,-21.094219017096975,222.85543753999997,201.75709179783513,,
208.0,11902,-57.1,-67.1,27,0.02,264.0,82.0,338.4,338.5,338.4,-77.78273192305156,4.570620139118981e-06,81.55079542019841,8.571333987947575,-20.682731923051563,216.05263581,195.36781277618613,,
200.0,12150,-58.5,-68.5,26,0.02,265.0,82.0,340.0,340.1,340.0,-79.92766399061097,3.3817844303017284e-06,81.68796524352314,7.146770905307976,-21.427663990610966,214.65261872999997,193.22273460552438,,
190.0,12472,-60.5,-70.5,26,0.01,265.0,85.0,341.8,341.8,341.8,-82.68640495036665,2.266979970880033e-06,84.67654933779838,7.4082381335509515,-22.186404950366637,212.651297165,190.463858433698,,
176.0,12948,-63.1,-72.1,29,0.01,265.0,89.0,345.1,345.1,345.1,-86.6951953315935,1.2348755616878522e-06,88.66132813016536,7.756861104541584,-23.595195331593487,210.05128130499997,186.4549451199803,,
173.0,13054,-63.3,-72.3,29,0.01,265.0,90.0,346.4,346.5,346.4,-87.60332356244528,1.070709994123475e-06,89.6575228282571,7.844016847289242,-24.303323562445257,209.85128008499996,185.54679762423004,,
171.5,13106,-62.7,-71.7,29,0.01,265.0,90.0,348.2,348.3,348.2,-88.06303575977812,9.95414376905605e-07,89.6575228282571,7.844016847289242,-25.363035759778143,210.45128374499998,185.0870766255392,,
171.0,13126,-62.5,-71.5,29,0.01,265.0,89.0,348.9,349.0,348.9,-88.21723416955994,9.712570070436376e-07,88.66132813016536,7.756861104541584,-25.71723416955996,210.65128496499997,184.93287539695925,,
158.0,13612,-64.9,-73.9,28,0.01,262.0,75.0,352.8,352.9,352.8,-92.23479691721724,5.035736271652058e-07,74.27010515561777,10.437982572004938,-27.334796917217233,208.25127032499998,180.91525865629902,,
150.0,13930,-65.5,-74.5,28,0.01,260.0,66.0,357.1,357.1,357.1,-94.85283808995152,3.2140887256711254e-07,64.99731169880573,11.460779726017401,-29.35283808995152,207.65126666499998,178.29719686688523,,
147.8,14021,-65.8,-74.8,27,0.01,265.0,67.0,358.1,358.1,358.1,-95.60026989767088,2.8180346875778143e-07,66.74504477214695,5.839434764093102,-29.800269897670887,207.35126483499997,177.54976062314827,,
140.5,14326,-66.8,-75.8,27,0.01,265.0,74.0,361.5,361.5,361.5,-98.10678437198382,1.7952875514124844e-07,73.71840765878918,6.44952496332671,-31.30678437198381,206.35125873499996,175.0432347974434,,
140.0,14347,-66.9,-75.9,27,0.01,265.0,73.0,361.7,361.8,361.7,-98.28484039612354,1.7374951603915378e-07,72.72221296069742,6.362369220579052,-31.384840396123536,206.25125812499996,174.8651781373459,,
136.0,14521,-67.1,-76.1,27,0.01,265.0,68.0,364.4,364.4,364.4,-99.71292477941917,1.3326295984055744e-07,67.7412394702387,5.9265905068407605,-32.61292477941916,206.05125690499997,173.437089319351,,
126.0,14983,-65.1,-74.1,28,0.01,265.0,55.0,376.0,376.1,376.0,-103.35818173237993,6.604558300423064e-08,54.790708395046,4.793565851121204,-38.25818173237994,208.051269105,169.7918251081598,,
120.8,15240,-66.5,-75.5,27,0.01,265.0,47.0,378.1,378.1,378.1,-105.36120401285478,4.413744210908986e-08,46.82115081031204,4.096319909139938,-38.861204012854785,206.65126056499997,167.7888005046638,,
117.0,15431,-67.5,-76.5,27,0.01,262.0,45.0,379.6,379.7,379.6,-106.86996208385006,3.230824313237157e-08,44.56206309337066,6.262789543202962,-39.369962083850055,205.65125446499997,166.2800411932016,,
114.8,15545,-68.3,-77.1,27,0.01,260.0,43.0,380.3,380.3,380.3,-107.76371814740588,2.6761140757002535e-08,42.34673337952494,7.466871639678004,-39.46371814740587,204.85124958499998,165.3862845524087,,
105.0,16073,-71.9,-79.9,29,0.01,249.0,53.0,383.2,383.2,383.2,-111.7994911478688,1.1076492165184176e-08,49.479762604351684,18.993501325900937,-39.899491147868815,201.25122762499998,161.3505099423217,,
102.0,16244,-72.3,-80.3,29,0.01,245.0,56.0,385.6,385.6,385.6,-113.11728732667397,8.195728971226818e-09,50.75323607405241,23.666622657479152,-40.81728732667398,200.85122518499998,160.03271347339268,,
100.0,16360,-71.3,-79.3,30,0.01,255.0,57.0,389.7,389.8,389.7,-114.01427214387871,6.65131439218349e-09,,,-42.7142721438787,201.85123128499995,159.13572850178295,,
88.8,17069,-70.7,-78.7,30,0.01,280.0,48.0,404.5,404.5,404.5,-119.10913525063836,1.9205267948089313e-09,,,-48.40913525063837,202.45123494499998,154.04086492982378,,
85.9,17264,-70.5,-78.5,30,0.01,280.0,36.0,408.6,408.7,408.6,-120.5471678673705,1.3247816619064712e-09,,,-50.04716786737049,202.65123616499997,152.6028322559504,,
84.3,17374,-69.9,-78.0,30,0.01,280.0,29.0,411.9,412.0,411.9,-121.3596939213777,1.0695668534881097e-09,,,-51.45969392137769,203.25123982499997,151.7903061776557,,
80.2,17678,-68.4,-76.8,29,0.01,310.0,18.0,421.1,421.2,421.1,-123.47001364105456,6.051758017106067e-10,,,-55.070013641054544,204.75124897499998,149.67998641420087,,
76.2,17983,-66.8,-75.6,28,0.02,285.0,22.0,430.6,430.7,430.6,-125.6040283021602,3.328963650177981e-10,,,-58.80402830216019,206.35251746999998,147.54597172780146,,
74.1,18154,-65.9,-74.9,27,0.02,288.0,19.0,435.9,436.0,435.9,-126.76638596508036,2.380262447845461e-10,,,-60.866385965080354,207.25252844999997,146.38361405617394,,
72.5,18288,-66.4,-75.4,27,0.02,290.0,17.0,437.7,437.8,437.7,-127.66991552344018,1.824899065728986e-10,,,-61.269915523440176,206.75252234999996,145.48008449275446,,
70.0,18500,-67.1,-76.1,27,0.02,270.0,15.0,440.5,440.6,440.5,-129.10393049253796,1.1864540756605142e-10,,,-62.00393049253796,206.05251381,144.04606951788716,,
69.9,18509,-67.1,-76.1,27,0.02,268.0,15.0,440.7,440.8,440.7,-129.1627540825402,1.1653813360867105e-10,,,-62.06275408254021,206.05251381,143.98724592769557,,
68.9,18596,-64.3,-73.3,28,0.03,250.0,15.0,448.5,448.7,448.5,-129.75159096296412,9.730245320227026e-11,,,-65.4515909629641,208.85382195499997,143.3984090455472,,
65.6,18898,-64.4,-73.4,28,0.03,265.0,18.0,454.6,454.8,454.6,-131.71489341823573,5.2591789985406016e-11,,,-67.31489341823573,208.75382012499998,141.43510658630163,,
64.2,19027,-64.5,-73.5,28,0.03,254.0,11.0,457.2,457.4,457.2,-132.57773206352329,3.9834173973469144e-11,,,-68.07773206352329,208.65381829499998,140.57226793989244,,
63.1,19132,-62.7,-72.7,25,0.03,246.0,5.0,463.4,463.7,463.4,-133.2662345006475,3.180848821455099e-11,,,-70.56623450064751,210.453851235,139.88376550206667,,
62.4,19202,-63.0,-73.0,25,0.03,240.0,1.0,464.2,464.4,464.2,-133.70982697587635,2.7472488499419357e-11,,,-70.70982697587635,210.15384574499998,139.44017302646037,,
61.0,19340,-63.7,-73.7,24,0.03,222.0,2.0,465.7,465.9,465.7,-134.6041193663852,2.0369453788897418e-11,,,-70.9041193663852,209.453832935,138.54588063533626,,
60.1,19431,-62.3,-72.3,25,0.04,210.0,3.0,470.8,471.1,470.8,-135.18844436966313,1.6705556781705285e-11,,,-72.88844436966312,210.85514474,137.96155563174273,,
57.5,19702,-64.1,-74.1,24,0.03,174.0,5.0,472.8,472.9,472.8,-136.8945469427317,9.24623272865552e-12,,,-72.7945469427317,209.053825615,136.25545305803678,,
55.5,19919,-62.5,-72.5,25,0.04,145.0,6.0,481.2,481.5,481.2,-138.24931274171308,5.6979494694658055e-12,,,-75.74931274171308,210.65513986,134.90068725875577,,
50.0,20560,-63.1,-73.1,25,0.04,60.0,11.0,494.4,494.6,494.4,-142.07079678778751,1.3556181413769131e-12,,,-78.97079678778752,210.05512521999998,131.07920321232086,,
49.0,20684,-63.7,-73.7,24,0.04,73.0,11.0,495.8,496.1,495.8,-142.82019382534168,1.0087492169171516e-12,,,-79.12019382534169,209.45511058,130.32980617473848,,
47.0,20941,-61.3,-71.3,25,0.05,99.0,11.0,507.5,507.9,507.5,-144.3408318587044,5.460823576418339e-13,,,-83.0408318587044,211.85646142499996,128.80916814133846,,
44.2,21321,-63.5,-73.5,25,0.04,138.0,11.0,511.1,511.4,511.1,-146.53442021752804,2.1758289449283785e-13,,,-83.03442021752804,209.65511546,126.61557978248875,,
44.1,21336,-63.5,-73.5,25,0.04,140.0,11.0,511.6,511.9,511.6,-146.61630685962808,2.1004896604660378e-13,,,-83.11630685962808,209.65511546,126.53369314038811,,
32.6,23216,-57.9,-68.9,23,0.11,89.0,9.0,572.5,573.3,572.5,-156.0485202767501,2.3620615957827824e-15,,,-98.1485202767501,215.264443275,117.10147972325002,,
30.0,23740,-58.3,-69.3,23,0.11,75.0,9.0,585.1,586.0,585.2,-158.718243963882,5.451803264780022e-16,,,-100.41824396388199,214.86441643499998,114.431756036118,,
27.1,24384,-57.2,-68.8,22,0.13,45.0,11.0,605.4,606.6,605.5,-161.88031403522368,8.449241969015176e-17,,,-104.68031403522369,215.96712483499996,111.2696859647763,,
25.8,24689,-56.7,-68.5,21,0.15,60.0,16.0,615.3,616.5,615.4,-163.40611929512335,3.25108690663764e-17,,,-106.70611929512336,216.46980517499998,109.74388070487663,,
24.9,24919,-56.3,-68.3,21,0.16,51.0,15.0,622.9,624.2,622.9,-164.50045684361422,1.6005413671026888e-17,,,-108.2004568436142,216.87116455999995,108.64954315638576,,
20.7,26106,-51.7,-65.7,17,0.27,4.0,8.0,670.5,673.0,670.6,-169.73918703612551,4.0229894444216934e-19,,,-118.03918703612553,221.48647281499998,103.41081296387446,,
20.0,26330,-51.3,-65.3,17,0.29,355.0,7.0,678.4,681.1,678.5,-170.738822904461,1.8682868798464036e-19,,,-119.43882290446098,221.88924526499997,102.41117709553899,,
18.6,26822,-50.6,-65.1,16,0.33,275.0,11.0,695.2,698.2,695.3,-172.78806647801613,3.6199865335138686e-20,,,-122.18806647801614,222.594799315,100.36193352198384,,
17.7,27127,-50.2,-64.9,16,0.35,25.0,12.0,705.8,709.1,705.9,-174.17624962867845,1.1248141052884415e-20,,,-123.97624962867846,222.997599825,98.97375037132153,,
16.9,27432,-49.8,-64.8,16,0.37,50.0,11.0,716.6,720.2,716.7,-175.4549975232727,3.669547130115936e-21,,,-125.6549975232727,223.40041009499998,97.69500247672727,,
16.1,27737,-49.4,-64.7,15,0.4,160.0,1.0,727.5,731.4,727.7,-176.77697426533737,1.100479946215099e-21,,,-127.37697426533737,223.80459499999995,96.3730257346626,,
14.7,28346,-48.6,-64.4,14,0.45,270.0,16.0,749.8,754.4,750.0,-179.17252756395578,1.0918545647170146e-22,,,-130.5725275639558,224.61163897499998,93.9774724360442,,
14.2,28571,-48.3,-64.3,14,0.47,259.0,15.0,758.2,763.1,758.5,-180.08627172300478,4.3114871179006146e-23,,,-131.78627172300477,224.91446449499995,93.06372827699519,,
14.0,28651,-47.2,-63.2,14,0.55,255.0,14.0,764.6,770.3,764.8,-180.46096015260326,2.921747008818756e-23,,,-133.26096015260327,226.025806225,92.68903984739671,,
13.8,28760,-45.7,-61.7,15,0.69,260.0,15.0,773.3,780.4,773.6,-180.8394711719004,1.962606142851436e-23,,,-135.13947117190042,227.54573370499998,92.31052882809956,,
12.8,29261,-45.8,-62.3,14,0.68,285.0,22.0,789.7,796.9,790.1,-182.75161403332893,2.436888585848482e-24,,,-136.95161403332892,227.44430477999995,90.39838596667104,,
11.9,29747,-45.9,-62.9,13,0.68,277.0,28.0,806.0,813.4,806.4,-184.56855743901798,2.952060004746906e-25,,,-138.66855743901797,227.34426329999997,88.581442560982,,
11.7,29870,-45.3,-62.3,13,0.75,275.0,30.0,812.3,820.5,812.7,-184.99413034093973,1.7653855244828645e-25,,,-139.69413034093972,227.95424137499995,88.15586965906024,,
10.7,30480,-42.4,-59.4,14,1.19,275.0,28.0,844.2,857.5,844.9,-187.14797092664395,1.1611765189682109e-26,,,-144.74797092664394,230.91750142499995,86.00202907335603,,
10.0,30920,-40.3,-57.3,14,1.66,270.0,29.0,868.0,886.8,868.8,-188.75628604382356,1.3185123458236314e-27,,,-148.45628604382355,233.08578390999995,84.39371395617641,,
9.8,31058,-39.7,-57.7,13,1.61,271.0,29.0,875.2,893.7,876.1,-189.23877600209892,6.688677520019387e-28,,,-149.53877600209893,233.67927124500002,83.91122399790106,,
8.9,31699,-40.1,-58.1,13,1.69,275.0,29.0,897.5,917.4,898.4,-191.44162472543596,2.570153576980163e-29,,,-151.34162472543596,233.29025124499998,81.70837527456402,,
